ISBN,ISBN10,UPC,BTKey,OCLC_Number,Title,Sub-Title,Author-Artist,Pub-Code,Publisher,List-Price,Net-Price,Pub-Date,Pub-Stat,Product-Line,Physical-Format,Binding/Format,Edition-Number,Edition,Attributes,AV-Attributes,Genre,LCCN,Dewey,LC-Class,BISAC-Code,Cart-Name,Cart-Status,PO-Number,Cart-Notes,SubmittedDate,Qty-Ordered,Qty-Confirmed,Qty-Backordered,Qty-Canceled,PO-Line-Number,Bib-Number,Line-Notes,Member-Code,Item-Type,Collection-Code,Call-Number,Grid-Qty,GridSeq0,GridSeq1,GridSeq2,GridSeq3,GridSeq4,GridSeq5,GridSeq6,GridSeq7,GridSeq8,GridSeq9
9.78198E+12,1982163305,,28990890,,All the Beauty in the World,The Metropolitan Museum of Art and Me,"Bringley, Patrick",SIMON,Simon & Schuster,$28.99 ,$28.99 ,2/14/2023,,BOOK,Hardcover,HRD,,,,,,2022948056,708.147/1,N610 .B75 2023,BIO026000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"request 2017014, 1007552
708 BRI",,,,,,,,,,,,,,,
9.78152E+12,1524887838,,31901176,,Attack of the Cheez Funk Breath,,"Peirce, Lincoln",ANDMJ,Andrews McMeel Pub,$12.99 ,$7.73 ,3/11/2025,,BOOK,Paperback,PAP,,,,,,bl2025041335,741.5/6973,PZ7.7.P39 BEAT 2025,JUV008110,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"add copy 195487
J GN PEIRC",,,,,,,,,,,,,,,
9.78059E+12,059385232X,,32014282,,Audition,,"Kitamura, Katie",PENGU,Penguin Group USA,$28.00 ,$15.06 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2024042072,813/.6,PS3611.I877 A93 2025,FIC025000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F KITAM,,,,,,,,,,,,,,,
9.78006E+12,62894544,,25671663,,Becoming Brianna,,"Libenson, Terri",HARJU,Harpercollins Childrens Books,$23.99 ,$12.91 ,5/5/2020,,BOOK,Hardcover,HRD,,,,,,bl2020009692,741.5/973,PZ7.7.L52 BEC 2020,JUV008110,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,"add copy 175526
J GN LIBEN",,,,,,,,,,,,,,,
9.78167E+12,1668046466,,31917344,,Big Chief,,"Hickey, Jon",SIMON,Simon & Schuster,$28.99 ,$15.60 ,4/8/2025,,BOOK,Hardcover,HRD,,,,,,2024041696,813/.6,PS3608.I2753 B54 2025,FIC059000,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F HICKE,,,,,,,,,,,,,,,
9.78173E+12,1728281571,,31868839,,Blood on Her Tongue,,"Van Veen, Johanna",SOUBO,Sourcebooks Inc,$17.99 ,$10.70 ,3/25/2025,NP,BOOK,Paperback,PAP,,Special,,,,2024039368,823/.92,PR9130.9.V44 B56 2025,FIC027040,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,F VANVE request 2014131,,,,,,,,,,,,,,,
9.78059E+12,593888936,,32014279,,Bluey Fairytale,,"Brumm, Joe",PENGJ,Penguin Group USA,$18.99 ,$10.22 ,4/8/2025,,BOOK,Hardcover,HRD,,Media Tie In,,,,bl2025043941,E,PZ7.1.B805 F34 2025,JUV002070,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,E BLUEY,,,,,,,,,,,,,,,
9.78082E+12,082345570X,,31742979,,A Book of Maps for You,,"Heuer, Lourdes",CANWP,Candlewick Pr,$18.99 ,$10.22 ,4/8/2025,,BOOK,Hardcover,HRD,,,,,,2023052889,E,PZ7.1.H535 BO 2025,JUV039090,32725,Ordered,32725,,3/27/2025 18:49,1,0,1,0,,,E HEUER,,,,,,,,,,,,,,,
9.78059E+12,593437977,,32014302,,The Book That Held Her Heart,,"Lawrence, Mark",PENGU,Penguin Group USA,$30.00 ,$16.14 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2024035598,813/.6,PS3612.A9484 B65 2025,FIC009020,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,F LAWRE,,,,,,,,,,,,,,,
9.78059E+12,593706846,,32014551,,Cats in Construction Hats,,"Bardhan-Quallen, Sudipta",RANDJ,Random House Childrens Books,$18.99 ,$10.22 ,4/8/2025,NP,BOOK,Hardcover,HRD,,,,,,2023054441,E,PZ7.B25007 CAU 2025,JUV002050,32725,Ordered,32725,,3/27/2025 18:49,1,1,0,0,,,E BARDH,,,,,,,,,,,,,,,
